zip_code,type,primary_city,state,county,estimated_population,population_density,public_transit_pct,median_income,education_pct,median_home_value,density_score,transit_score,income_score,education_score,housing_score,composite_score,score_category
90001,STANDARD,Los Angeles,CA,Los Angeles County,36200,6639.2,7.751766784452297,60751.0,7.0,513300.0,66.77841938292485,15.32735705107613,14.998710682391078,8.235294117647058,87.4118062088429,35.61,Fair (30-50)
90002,STANDARD,Los Angeles,CA,Los Angeles County,30920,6803.9,7.937103966205116,56158.0,8.1,502600.0,65.95428479929546,15.693819205905568,12.581634854728113,9.529411764705882,88.04092191909689,35.38,Fair (30-50)
90003,STANDARD,Los Angeles,CA,Los Angeles County,41878,7637.1,12.241416854177253,54781.0,7.1,547600.0,61.785074507370666,24.20461968894138,11.856985733305967,8.352941176470589,85.39510818438382,35.03,Fair (30-50)
90004,STANDARD,Los Angeles,CA,Los Angeles County,41632,7447.2,14.054088695206357,62655.0,40.0,1457200.0,62.73530618576304,27.788766283703474,16.00069465275256,47.05882352941176,31.91439322671684,35.73,Fair (30-50)
90005,STANDARD,Los Angeles,CA,Los Angeles County,22281,12680.0,20.167348103071216,52755.0,38.0,1084400.0,36.55114438117349,39.87634738561808,10.790799008541072,44.70588235294118,53.83349012229539,36.1,Fair (30-50)
90006,STANDARD,Los Angeles,CA,Los Angeles County,34995,11020.2,23.312168914603447,49847.0,22.1,841900.0,44.85653953544229,46.09451580842045,9.260457944564605,26.0,68.0914863593603,36.08,Fair (30-50)
90007,STANDARD,Los Angeles,CA,Los Angeles County,20179,6236.6,13.960301327274902,36032.0,28.6,852900.0,68.79297058735226,27.603323078929915,1.9902853865058439,33.64705882352941,67.44473189087489,36.86,Fair (30-50)
90008,STANDARD,Los Angeles,CA,Los Angeles County,21174,4462.8,8.506977633339705,61822.0,33.2,1003000.0,77.66880497983448,16.820614865921687,15.562326665719414,39.05882352941177,58.619473189087486,39.55,Fair (30-50)
90010,STANDARD,Los Angeles,CA,Los Angeles County,3294,4427.9,16.929698708751793,100901.0,60.6,863500.0,77.84343944837525,33.47463153775922,36.127731906137676,71.29411764705883,66.82149576669802,56.92,Good (50-70)
90011,STANDARD,Los Angeles,CA,Los Angeles County,63123,9252.8,13.279225989866337,53781.0,6.2,575200.0,53.70034926893708,26.256651389053886,11.33073364803208,7.294117647058823,83.77234242709314,33.4,Fair (30-50)
90012,STANDARD,Los Angeles,CA,Los Angeles County,13839,3976.0,7.995448284122897,67635.0,39.5,686400.0,80.10468060406512,15.809181834515726,18.621430037416523,46.470588235294116,77.23424270931326,46.11,Fair (30-50)
90013,STANDARD,Los Angeles,CA,Los Angeles County,3973,8151.7,13.611399732818763,32848.0,38.5,786600.0,59.21009177066341,26.91344947170982,0.314698746993785,45.294117647058826,71.34289746001882,38.59,Fair (30-50)
90014,STANDARD,Los Angeles,CA,Los Angeles County,3272,12303.5,10.124973522558781,33822.0,43.2,644700.0,38.43509502316783,20.01983401051395,0.8272682780505518,50.82352941176471,79.68603010348072,37.62,Fair (30-50)
90015,STANDARD,Los Angeles,CA,Los Angeles County,10390,5759.2,11.383275012497322,63211.0,47.8,1000800.0,71.18180999369514,22.507839229256067,16.293290812164845,56.23529411764705,58.74882408278457,43.94,Fair (30-50)
90016,STANDARD,Los Angeles,CA,Los Angeles County,34391,4948.6,9.071019858633457,71067.0,31.9,919800.0,75.2379332085706,17.935880175025243,20.427527194076507,37.529411764705884,63.51128880526811,41.17,Fair (30-50)
90017,STANDARD,Los Angeles,CA,Los Angeles County,11309,15827.1,21.429032050041915,51317.0,36.2,675500.0,20.803518709406234,42.371040644401056,10.03404850991722,42.58823529411765,77.87511759172155,38.21,Fair (30-50)
90018,STANDARD,Los Angeles,CA,Los Angeles County,33029,6280.5,10.015549254550443,63671.0,24.4,886800.0,68.57330144211042,19.803472389679282,16.53536677139083,28.705882352941174,65.45155221072437,37.66,Fair (30-50)
90019,STANDARD,Los Angeles,CA,Los Angeles County,43752,5914.0,10.568728237439894,71395.0,39.1,1178100.0,70.40721355443691,20.897258105847058,20.600137878046343,46.0,48.32431796801505,40.01,Fair (30-50)
90020,STANDARD,Los Angeles,CA,Los Angeles County,25029,13320.6,17.010334287516375,55832.0,46.0,826500.0,33.3456761706514,33.63407006849828,12.410076674928824,54.11764705882353,68.99694261523989,40.48,Fair (30-50)
90021,STANDARD,Los Angeles,CA,Los Angeles County,1621,615.6,18.91472868217054,32250.0,20.2,1075800.0,96.9196281136475,37.39957716701902,0.0,23.764705882352942,54.33913452492944,36.96,Fair (30-50)
90022,STANDARD,Los Angeles,CA,Los Angeles County,46198,5381.4,6.363027461486939,67829.0,9.6,603500.0,73.0722656445463,12.581440662485537,18.723522941959658,11.294117647058822,82.10841956726246,36.77,Fair (30-50)
90023,STANDARD,Los Angeles,CA,Los Angeles County,30786,3989.3,9.601981452681297,56623.0,10.2,617600.0,80.0381293596069,18.98573605416529,12.82634207438047,12.0,81.2793979303857,37.32,Fair (30-50)
90024,STANDARD,Los Angeles,CA,Los Angeles County,22009,6599.3,2.271425844626837,79994.0,74.1,1434000.0,66.97807311629956,4.491228374603064,25.125379559316503,87.17647058823529,33.27845719661336,45.45,Fair (30-50)
90025,STANDARD,Los Angeles,CA,Los Angeles County,34463,6847.2,5.101492857909999,104627.0,69.6,1081400.0,65.73761796583369,10.087042696322044,38.088547175868186,81.88235294117646,54.00987770460959,52.17,Good (50-70)
